task,task_normalized,soc_code_2019,title,freq_mean,importance,relevance,soc_code_2019_untrimmed,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category
Conduct in-flight tests and evaluations at specified altitudes and in all types of weather to determine the receptivity and other characteristics of equipment and systems.,conduct inflight tests and evaluations at specified altitudes and in all types of weather to determine the receptivity and other characteristics of equipment and systems,53-2012,Commercial Pilots,1.2665161538461538,4.39,73.05,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
Rescue and evacuate injured persons.,rescue and evacuate injured persons,53-2012,Commercial Pilots,0.0162734615384615,4.21,63.99,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Perform minor aircraft maintenance and repair work, or arrange for major maintenance.",perform minor aircraft maintenance and repair work or arrange for major maintenance,53-2012,Commercial Pilots,0.292736923076923,4.16,76.14,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
Fly with other pilots or pilot-license applicants to evaluate their proficiency.,fly with other pilots or pilotlicense applicants to evaluate their proficiency,53-2012,Commercial Pilots,0.290595,3.79,52.27,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
Plan and formulate flight activities and test schedules and prepare flight evaluation reports.,plan and formulate flight activities and test schedules and prepare flight evaluation reports,53-2012,Commercial Pilots,0.8454534615384616,3.71,43.7,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Co-pilot aircraft or perform captain's duties, as required.",copilot aircraft or perform captains duties as required,53-2012,Commercial Pilots,3.706674615384616,4.94,69.36,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Write specified information in flight records, such as flight times, altitudes flown, and fuel consumption.",write specified information in flight records such as flight times altitudes flown and fuel consumption,53-2012,Commercial Pilots,2.549854615384615,4.32,99.8,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
Supervise other crew members.,supervise other crew members,53-2012,Commercial Pilots,2.387938461538462,4.13,93.3,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Coordinate flight activities with ground crews and air traffic control, and inform crew members of flight and test procedures.",coordinate flight activities with ground crews and air traffic control and inform crew members of flight and test procedures,53-2012,Commercial Pilots,1.884937307692308,4.27,99.18,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Check aircraft prior to flights to ensure that the engines, controls, instruments, and other systems are functioning properly.",check aircraft prior to flights to ensure that the engines controls instruments and other systems are functioning properly,53-2012,Commercial Pilots,2.240343076923077,4.97,100.0,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
Request changes in altitudes or routes as circumstances dictate.,request changes in altitudes or routes as circumstances dictate,53-2012,Commercial Pilots,4.031938461538461,4.13,80.57,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
Check baggage or cargo to ensure that it has been loaded correctly.,check baggage or cargo to ensure that it has been loaded correctly,53-2012,Commercial Pilots,2.444698076923077,4.63,93.93,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
Use instrumentation to pilot aircraft when visibility is poor.,use instrumentation to pilot aircraft when visibility is poor,53-2012,Commercial Pilots,0.7873123076923076,4.9,80.49,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Plan flights according to government and company regulations, using aeronautical charts and navigation instruments.",plan flights according to government and company regulations using aeronautical charts and navigation instruments,53-2012,Commercial Pilots,2.716933076923077,4.65,100.0,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Obtain and review data such as load weights, fuel supplies, weather conditions, and flight schedules to determine flight plans and identify needed changes.",obtain and review data such as load weights fuel supplies weather conditions and flight schedules to determine flight plans and identify needed changes,53-2012,Commercial Pilots,2.6193792307692307,4.57,100.0,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Order changes in fuel supplies, loads, routes, or schedules to ensure safety of flights.",order changes in fuel supplies loads routes or schedules to ensure safety of flights,53-2012,Commercial Pilots,2.659135769230769,4.81,100.0,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Consider airport altitudes, outside temperatures, plane weights, and wind speeds and directions to calculate the speed needed to become airborne.",consider airport altitudes outside temperatures plane weights and wind speeds and directions to calculate the speed needed to become airborne,53-2012,Commercial Pilots,4.219394615384615,4.93,99.56,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Monitor engine operation, fuel consumption, and functioning of aircraft systems during flights.",monitor engine operation fuel consumption and functioning of aircraft systems during flights,53-2012,Commercial Pilots,7.592211538461539,4.82,99.8,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Start engines, operate controls, and pilot airplanes to transport passengers, mail, or freight according to flight plans, regulations, and procedures.",start engines operate controls and pilot airplanes to transport passengers mail or freight according to flight plans regulations and procedures,53-2012,Commercial Pilots,3.0834376923076925,4.65,94.76,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Contact control towers for takeoff clearances, arrival instructions, and other information, using radio equipment.",contact control towers for takeoff clearances arrival instructions and other information using radio equipment,53-2012,Commercial Pilots,4.229652307692308,4.76,100.0,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Choose routes, altitudes, and speeds that will provide the fastest, safest, and smoothest flights.",choose routes altitudes and speeds that will provide the fastest safest and smoothest flights,53-2012,Commercial Pilots,2.7625161538461542,4.37,100.0,53-2012.00,51830.0,680.0,53,Transportation and Material Moving Occupations
"Relay air traffic information, such as courses, altitudes, or expected arrival times, to control centers.",relay air traffic information such as courses altitudes or expected arrival times to control centers,53-2021,Air Traffic Controllers,5.698128076923078,4.37,83.05,53-2021.00,22400.0,350.0,53,Transportation and Material Moving Occupations
"Compile information about flights from flight plans, pilot reports, radar, or observations.",compile information about flights from flight plans pilot reports radar or observations,53-2021,Air Traffic Controllers,6.53834076923077,4.25,73.59,53-2021.00,22400.0,350.0,53,Transportation and Material Moving Occupations
"Inspect, adjust, or control radio equipment or airport lights.",inspect adjust or control radio equipment or airport lights,53-2021,Air Traffic Controllers,4.729096923076924,4.26,74.63,53-2021.00,22400.0,350.0,53,Transportation and Material Moving Occupations
Provide on-the-job training to new air traffic controllers.,provide onthejob training to new air traffic controllers,53-2021,Air Traffic Controllers,3.2356796153846155,4.46,90.02,53-2021.00,22400.0,350.0,53,Transportation and Material Moving Occupations
Check conditions and traffic at different altitudes in response to pilots' requests for altitude changes.,check conditions and traffic at different altitudes in response to pilots requests for altitude changes,53-2021,Air Traffic Controllers,6.194553461538462,4.39,81.2,53-2021.00,22400.0,350.0,53,Transportation and Material Moving Occupations
"Analyze factors such as weather reports, fuel requirements, or maps to determine air routes.",analyze factors such as weather reports fuel requirements or maps to determine air routes,53-2021,Air Traffic Controllers,3.5197250000000007,4.07,57.19,53-2021.00,22400.0,350.0,53,Transportation and Material Moving Occupations
